Location,Count
"Orange, CT",1
"Southington, CT",1
"Stamford, CT",1
"Stratford, CT",1
"Trumbull, CT",1
"Wallingford, CT",1
"Waterbury, CT",1
"Wethersfield, CT",1
"Willimantic, CT",1
"Windsor, CT",1
"Windsor Locks, CT",1
"Bear, DE",1
"Dover, DE",1
"Middletown, DE",1
"Milford, DE",1
"Millsboro, DE",1
"New Castle, DE",1
"Newark, DE",2
"Rehoboth Beach, DE",1
"Seaford, DE",1
"Wilmington, DE",1
"Alachua, FL",1
"Altamonte Springs, FL",1
"Apopka, FL",1
"Auburndale, FL",1
"Belle Glade, FL",1
"Belleview, FL",1
"Bonita Springs, FL",1
"Boynton Beach, FL",1
"Bradenton, FL",1
"Brandon, FL",1
"Brooksville, FL",1
"Callahan, FL",1
"Cape Coral, FL",2
"Carol City, FL",1
"Casselberry, FL",1
"Chiefland, FL",1
"Chipley, FL",1
"Clearwater, FL",1
"Clermont, FL",1
"Clewiston, FL",1
"Crestview, FL",1
"Cutler Bay, FL",1
"Dania Beach, FL",1
"Davenport, FL",1
"Davie, FL",1
"Daytona Beach, FL",1
"Deerfield Beach, FL",1
"Deland, FL",1
"Eglin Afb, FL",1
"Ellenton, FL",1
"Eustis, FL",1
"Fort Myers, FL",2
"Fort Pierce, FL",3
"Ft Lauderdale, FL",2
"Ft Walton Beach, FL",1
"Gainesville, FL",2
"Gulf Breeze, FL",1
"Haines City, FL",1
"Hollywood, FL",1
"Homestead, FL",1
"Hudson, FL",1
"Hurlburt Field, FL",1
"Immokalee, FL",1
"Jacksonville, FL",20
"Key West, FL",1
"Kissimmee, FL",5
"Labelle, FL",1
"Lake City, FL",1
"Lake Wales, FL",1
"Lakeland, FL",2
"Lantana, FL",1
"Largo, FL",1
"Lauderdale Lakes, FL",1
"Lauderhill, FL",1
"Leesburg, FL",2
"Lehigh Acres, FL",1
"Live Oak, FL",1
"Lynn Haven, FL",1
"Macclenny, FL",1
"Marianna, FL",1
"Merritt Island, FL",1
"Miami, FL",16
"Middleburg, FL",1
"Naples, FL",1
"Naranja, FL",1
"Neptune Beach, FL",1
"New Smyrna Beach, FL",1
"North Miami, FL",1
"North Port, FL",1
"Oakland Park, FL",1
"Ocala, FL",3
"Ocoee, FL",1
"Okeechobee, FL",1
"Orange City, FL",1
"Orange Park, FL",1
"Orlando, FL",14
"Oviedo, FL",1
"Pace, FL",1
"Palatka, FL",2
"Palm Coast, FL",1
"Panama City, FL",2
"Pembroke Pines, FL",2
"Pensacola, FL",7
"Perry, FL",1
"Pinellas Park, FL",1
"Plant City, FL",2
"Poinciana, FL",1
"Pompano Beach, FL",1
"Port Orange, FL",1
"Port St Lucie, FL",1
"Port St. Lucie, FL",1
"Punta Gorda, FL",1
"Quincy, FL",1
"Riverview, FL",1
"Riviera Beach, FL",1
"Sanford, FL",2
"Sarasota, FL",1
"Sebring, FL",1
"Seffner, FL",2
"South Miami, FL",1
"Spring Hill, FL",1
"St Petersburg, FL",1
"Starke, FL",1
"Stuart, FL",1
"Sun City Center, FL",1
"Tallahassee, FL",4
"Tampa, FL",9
"Tavares, FL",1
"Titusville, FL",1
"Vero Beach, FL",2
"Virginia Gardens, FL",1
"Wesley Chapel, FL",1
"West Melbourne, FL",2
"West Palm Beach, FL",2
"Wildwood, FL",1
"Williston, FL",1
"Winter Haven, FL",1
"Winter Park, FL",1
"Zephyrhills, FL",1
"Acworth, GA",1
"Albany, GA",1
"Alpharetta, GA",1
"Americus, GA",1
"Athens, GA",3
"Atlanta, GA",12
"Augusta, GA",3
"Austell, GA",1
"Bainbridge, GA",1
"Baxley, GA",1
"Blairsville, GA",1
"Blue Ridge, GA",1
"Braselton, GA",1
"Bremen, GA",1
"Brunswick, GA",3
"Buford, GA",2
"Cairo, GA",1
"Calhoun, GA",1
"Canton, GA",1
"Carrollton, GA",1
"Cartersville, GA",2
"Cedartown, GA",1
"Claxton, GA",1
"College Park, GA",1
"Columbus, GA",4
"Commerce, GA",1
"Conyers, GA",1
"Cornelia, GA",1
"Covington, GA",1
"Cumming, GA",1
"Dalton, GA",1
"Dawsonville, GA",1
"Decatur, GA",3
"Doraville, GA",1
"Douglasville, GA",2
"Dublin, GA",1
"Duluth, GA",2
"Eatonton, GA",1
"Ellenwood, GA",1
"Fayetteville, GA",1
"Flowery Branch, GA",1
"Fort Benning, GA",1
"Fort Gordon, GA",1
"Ft Stewart, GA",1
"Gainesville, GA",1
"Garden City, GA",1
"Gray, GA",1
"Griffin, GA",1
"Grovetown, GA",1
"Hartwell, GA",1
"Hazlehurst, GA",1
"Hephzibah, GA",1
"Hinesville, GA",1
"Hiram, GA",1
"Jasper, GA",1
"Jesup, GA",1
"Jonesboro, GA",1
"Kennesaw, GA",1
"Kingsland, GA",1
"Lagrange, GA",1
"Lake Park, GA",1
"Lawrenceville, GA",1
"Lilburn, GA",2
"Lithia Springs, GA",1
"Lithonia, GA",1
"Loganville, GA",1
"Louisville, GA",1
"Lovejoy, GA",1
"Mableton, GA",1
"Macon, GA",3
"Madison, GA",1
"Marietta, GA",3
"Martinez, GA",1
"Mcdonough, GA",1
"Milledgeville, GA",1
"Millen, GA",1
"Monroe, GA",1
"Newnan, GA",1
"Norcross, GA",1
"Perry, GA",1
"Pooler, GA",1
"Richmond Hill, GA",1
"Rincon, GA",1
"Riverdale, GA",1
"Robins Afb, GA",1
"Rockmart, GA",1
"Rome, GA",2
"Roswell, GA",1
"Savannah, GA",4
"Sharpsburg, GA",1
"Smyrna, GA",1
"Snellville, GA",1
"Statesboro, GA",1
"Stockbridge, GA",1
"Stone Mountain, GA",2
"Suwanee, GA",1
"Swainsboro, GA",1
"Thomaston, GA",1
"Thomasville, GA",1
"Thomson, GA",1
"Tucker, GA",2
"Union City, GA",1
"Valdosta, GA",2
"Vidalia, GA",1
"Vienna, GA",1
"Villa Rica, GA",1
"Warner Robins, GA",3
"Waycross, GA",2
"Waynesboro, GA",1
"Winder, GA",1
"Woodstock, GA",1
"Hickam Afb, HI",1
"Honolulu, HI",3
"Mililani, HI",1
"Pearl City, HI",1
"Schofield Barracks, HI",1
"Waipahu, HI",1
"Boise, ID",1
"Meridian, ID",1
"Mountain Home Afb, ID",1
"Nampa, ID",1
"Post Falls, ID",1
"Addison, IL",1
"Alton, IL",1
"Antioch, IL",1
"Arlington Heights, IL",1
"Aurora, IL",2
"Belleville, IL",1
"Bensenville, IL",1
"Berwyn, IL",1
"Bloomingdale, IL",1
"Bloomington, IL",2
"Blue Island, IL",1
"Bolingbrook, IL",1
"Bradley, IL",2
"Bridgeview, IL",1
"Burbank, IL",1
"Calumet City, IL",2
"Carbondale, IL",1
"Carpentersville, IL",2
"Champaign, IL",1
"Chicago, IL",37
"Cicero, IL",1
"Collinsville, IL",1
"Countryside, IL",1
"Crest Hill, IL",1
"Crestwood, IL",1
"Crystal Lake, IL",1
"Danville, IL",1
"Darien, IL",1
"Dekalb, IL",1
"Des Plaines, IL",1
"East Peoria, IL",1
"Effingham, IL",1
"Elgin, IL",2
"Evergreen Park, IL",1
"Fairview Heights, IL",1
"Glendale Heights, IL",1
"Glenwood, IL",1
"Granite City, IL",1
"Gurnee, IL",1
"Hampshire, IL",1
"Hanover Park, IL",1
"Harvey, IL",2
"Hazel Crest, IL",1
"Huntley, IL",1
"Joliet, IL",2
"Lake Zurich, IL",1
"Lansing, IL",1
"Lisle, IL",1
"Lockport, IL",1
"Lombard, IL",1
"Loves Park, IL",1
"Marion, IL",1
"Markham, IL",1
"Maywood, IL",1
"Mchenry, IL",1
"Melrose Park, IL",1
"Midlothian, IL",1
"Mokena, IL",1
"Moline, IL",1
"Morton Grove, IL",1
"Mount Vernon, IL",1
"Mt Prospect, IL",1
"Mundelein, IL",1
"Naperville, IL",1
"Norridge, IL",1
"North Aurora, IL",1
"North Chicago, IL",1
"O'fallon, IL",1
"Oak Park, IL",1
"Oswego, IL",1
"Palatine, IL",1
"Peoria, IL",2
"Richton Park, IL",1
"Rockford, IL",2
"Romeoville, IL",2
"Round Lake Beach, IL",1
"Sauk Village, IL",1
"Schaumburg, IL",1
"South Holland, IL",1
"Springfield, IL",2
"Summit, IL",1
"Tinley Park, IL",1
"Villa Park, IL",1
"Waukegan, IL",1
"West Chicago, IL",1
"Woodstock, IL",1
"Yorkville, IL",1
"Anderson, IN",1
"Avon, IN",1
"Carmel, IN",1
"Elkhart, IN",1
"Evansville, IN",2
"Fishers, IN",1
"Fort Wayne, IN",2
"Greenfield, IN",1
"Greenwood, IN",1
"Griffith, IN",1
"Hammond, IN",2
"Howe, IN",2
"Indianapolis, IN",9
"Jeffersonville, IN",1
"Kokomo, IN",1
"La Porte, IN",1
"Lafayette, IN",1
"Lake Station, IN",1
"Marion, IN",1
"Merrillville, IN",1
"Michigan City, IN",1
"Mishawaka, IN",1
"New Albany, IN",1
"Newburgh, IN",1
"Plainfield, IN",1
"Porter, IN",1
"Salem, IN",1
"Schererville, IN",1
"Scottsburg, IN",1
"Seymour, IN",1
"South Bend, IN",1
"Terre Haute, IN",1
"Valparaiso, IN",1
"Warsaw, IN",1
"Whitestown, IN",1
"Altoona, IA",1
"Cedar Rapids, IA",2
"Coralville, IA",1
"Council Bluffs, IA",1
"Davenport, IA",1
"Des Moines, IA",2
"Dubuque, IA",1
"Sioux City, IA",2
"Waterloo, IA",1
"Ft Riley, KS",1
"Garden City, KS",1
"Lansing, KS",1
"Lawrence, KS",1
"Manhattan, KS",1
"Mission, KS",1
"Olathe, KS",1
"Salina, KS",2
"Topeka, KS",1
"Wichita, KS",5
"Bowling Green, KY",2
"Covington, KY",1
"Elizabethtown, KY",1
"Florence, KY",1
"Fort Campbell, KY",1
"Franklin, KY",1
"Ft. Campbell, KY",1
"Ft. Knox, KY",1
"Glasgow, KY",1
"Henderson, KY",1
"Hopkinsville, KY",1
"Lexington, KY",1
"Louisville, KY",5
"Madisonville, KY",1
"Mayfield, KY",1
"Murray, KY",1
"Owensboro, KY",1
"Paducah, KY",2
"Somerset, KY",1
"Winchester, KY",1
"Abbeville, LA",1
"Alexandria, LA",2
"Amite, LA",1
"Avondale, LA",1
"Baker, LA",1
"Bastrop, LA",1
"Baton Rouge, LA",12
"Belle Chasse, LA",1
"Bogalusa, LA",1
"Bossier City, LA",2
"Boutte, LA",1
"Breaux Bridge, LA",1
"Broussard, LA",1
"Carencro, LA",1
"Chalmette, LA",1
"Columbia, LA",1
"Covington, LA",1
"Crowley, LA",1
"Cut Off, LA",1
"Denham Springs, LA",1
"Dequincy, LA",1
"Deridder, LA",1
"Destrehan, LA",1
"Donaldsonville, LA",1
"Eunice, LA",1
"Farmerville, LA",1
"Franklin, LA",1
"Franklinton, LA",1
"Gonzales, LA",2
"Gramercy, LA",1
"Grand Coteau, LA",1
"Gray, LA",1
"Gretna, LA",2
"Hammond, LA",3
"Harahan, LA",1
"Harvey, LA",1
"Henderson, LA",1
"Houma, LA",3
"Jefferson, LA",1
"Jena, LA",1
"Jennings, LA",1
"Jonesboro, LA",1
"Kenner, LA",2
"Kentwood, LA",1
"La Place, LA",1
"Lafayette, LA",7
"Lake Charles, LA",4
"Leesville, LA",1
"Mandeville, LA",2
"Mansfield, LA",1
"Marksville, LA",1
"Marrero, LA",3
"Metairie, LA",6
"Minden, LA",1
"Monroe, LA",3
"Morgan City, LA",2
"Moss Bluff, LA",1
"Natchitoches, LA",2
"New Iberia, LA",1
"New Orleans, LA",10
"Oakdale, LA",1
"Opelousas, LA",1
"Pineville, LA",2
"Plaquemine, LA",1
"Ponchatoula, LA",1
"Port Allen, LA",1
"Port Vincent, LA",1
"Prairieville, LA",2
"Raceland, LA",1
"Rayne, LA",1
"Rayville, LA",1
"Ruston, LA",2
"Saint Martinville, LA",1
"Scott, LA",1
"Shreveport, LA",6
"Shreveport, Louisiana, LA",1
"Slidell, LA",2
"Sorrento, LA",1
"Sulphur, LA",2
"Tallulah, LA",1
"Thibodaux, LA",2
"Vidalia, LA",1
"Ville Platte, LA",1
"Walker, LA",1
"West Monroe, LA",1
"Westlake, LA",1
"Winnsboro, LA",1
"Zachary, LA",1
"Kennebunk, ME",1
"South Portland, ME",1
"West Gardiner, ME",1
"Adelphi, MD",1
"Annapolis, MD",2
"Baltimore, MD",15
"Bel Air, MD",1
"Beltsville, MD",2
"Bethesda, MD",1
"Bowie, MD",1
"Brooklyn Park, MD",1
"California, MD",1
"Cambridge, MD",1
"Catonsville, MD",1
"Charlotte Hall, MD",1
"Clinton, MD",1
"Cockeysville, MD",1
"Columbia, MD",2
"District Heights, MD",2
"Dunkirk, MD",1
"Easton, MD",1
"Edgewater, MD",1
"Edgewood, MD",1
"Eldersburg, MD",1
"Elkridge, MD",1
"Elkton, MD",1
"Essex, MD",1
"Frederick, MD",2
"Gaithersburg, MD",1
"Gambrills, MD",1
"Germantown, MD",2
"Glen Burnie, MD",2
"Greenbelt, MD",1
"Gwynn Oak, MD",1
"Hagerstown, MD",2
"Hanover, MD",1
"Hyattsville, MD",1
"Jessup, MD",1
"La Plata, MD",1
"Landover, MD",2
"Lanham, MD",1
"Laurel, MD",2
"Lexington Park, MD",1
"Mitchellville, MD",1
"New Market, MD",1
"Ocean City, MD",1
"Odenton, MD",1
"Olney, MD",1
"Owings Mills, MD",1
"Oxon Hill, MD",2
"Pasadena, MD",1
"Princess Anne, MD",1
"Randallstown, MD",1
"Rockville, MD",2
"Rosedale, MD",1
"Salisbury, MD",2
"Seat Pleasant, MD",1
"Severn, MD",1
"Severna Park, MD",1
"Silver Spring, MD",3
"Suitland, MD",2
"Takoma Park, MD",1
"Temple Hills, MD",1
"Towson, MD",1
"Upper Marlboro, MD",1
"Urbana, MD",1
"Waldorf, MD",2
"Westminster, MD",1
"Wheaton, MD",2
"Boston, MA",1
"Braintree, MA",1
"Brockton, MA",2
"Chelmsford, MA",1
"Chicopee, MA",1
"Everett, MA",1
"Hadley, MA",1
"Lawrence, MA",1
"Leominster, MA",1
"Lynn, MA",1
"New Bedford, MA",1
"Quincy, MA",2
"Randolph, MA",1
"Roslindale, MA",1
"Roxbury, MA",1
"Springfield, MA",2
"West Roxbury, MA",1
"Worcester, MA",1
"Battle Creek, MI",1
"Benton Harbor, MI",1
"Clinton Township, MI",2
"Detroit, MI",7
"Dexter, MI",1
"Eastpointe, MI",1
"Flint, MI",2
"Fraser, MI",1
"Grand Rapids, MI",2
"Greenville, MI",1
"Highland Park, MI",1
"Holland, MI",1
"Jackson, MI",1
"Kalamazoo, MI",1
"Kentwood, MI",1
"Lansing, MI",2
"Livonia, MI",1
"Monroe, MI",1
"Mount Pleasant, MI",1
"Mt Pleasant, MI",1
"Muskegon, MI",1
"New Baltimore, MI",1
"Niles, MI",1
"Norton Shores, MI",1
"Oak Park, MI",1
"Redford, MI",1
"Saginaw, MI",1
"Sawyer, MI",1
"Southfield, MI",1
"Sterling Heights, MI",1
"Taylor, MI",1
"Walker, MI",1
"Warren, MI",2
"Waterford, MI",1
"West Point, MI",1
"Westland, MI",1
"Ypsilanti, MI",1
"Bloomington, MN",2
"Brooklyn Center, MN",1
"Brooklyn Park, MN",1
"Coon Rapids, MN",1
"Crystal, MN",1
"Eden Prairie, MN",1
"Minneapolis, MN",3
"Mounds View, MN",1
"Richfield, MN",1
"Saint Paul, MN",4
"St Cloud, MN",1
"Batesville, MS",1
"Bay Saint Louis, MS",1
"Biloxi, MS",1
"Booneville, MS",1
"Brandon, MS",1
"Brookhaven, MS",1
"Byram, MS",1
"Canton, MS",1
"Carthage, MS",1
"Clarksdale, MS",1
"Cleveland, MS",1
"Clinton, MS",1
"Collins, MS",1
"Columbia, MS",1
"Columbus, MS",1
"Corinth, MS",1
"Crystal Springs, MS",1
"D'iberville, MS",1
"Flowood, MS",1
"Forest, MS",1
"Greenville, MS",1
"Greenwood, MS",1
"Grenada, MS",1
"Gulfport, MS",2
"Hattiesburg, MS",3
"Hazlehurst, MS",1
"Holly Springs, MS",1
"Horn Lake, MS",1
"Indianola, MS",1
"Jackson, MS",6
"Keesler Afb, MS",1
"Kosciusko, MS",1
"Laurel, MS",2
"Lucedale, MS",1
"Madison, MS",1
"Magee, MS",1
"Mccomb, MS",1
"Meridian, MS",3
"Natchez, MS",1
"New Albany, MS",1
"Ocean Springs, MS",1
"Olive Branch, MS",1
"Oxford, MS",1
"Pascagoula, MS",1
"Pearl, MS",1
"Petal, MS",1
"Philadelphia, MS",1
"Picayune, MS",1
"Richland, MS",1
"Ridgeland, MS",1
"Senatobia, MS",1
"Starkville, MS",1
"Tupelo, MS",1
"Vicksburg, MS",2
"Waynesboro, MS",1
"West Point, MS",1
"Wiggins, MS",1
"Yazoo City, MS",1
"Blue Springs, MO",1
"Brentwood, MO",1
"Cape Girardeau, MO",1
"Columbia, MO",2
"Ellisville, MO",1
"Florissant, MO",1
"Foristell, MO",1
"Fort Leonard Wood, MO",1
"Gladstone, MO",1
"Grandview, MO",1
"Independence, MO",1
"Jefferson City, MO",1
"Joplin, MO",1
"Kansas City, MO",4
"Lake St Louis, MO",1
"Matthews, MO",1
"Nixa, MO",1
"O'fallon, MO",1
"Oak Grove, MO",1
"Ozark, MO",1
"Poplar Bluff, MO",1
"Raytown, MO",1
"Republic, MO",1
"Saint Louis, MO",5
"Saint Peters, MO",1
"Springfield, MO",3
"St Charles, MO",1
"St Louis, MO",3
"St Peters, MO",1
"St. Ann, MO",1
"St. Louis, MO",1
"Billings, MT",2
"Malmstrom Afb, MT",1
"Missoula, MT",1
"Grand Island, NE",1
"Lavista, NE",1
"Lincoln, NE",4
"Offutt Afb, NE",1
"Omaha, NE",6
"Henderson, NV",2
"Las Vegas, NV",22
"Nellis Afb, NV",1
"North Las Vegas, NV",2
"Reno, NV",2
"Sparks, NV",1
"Manchester, NH",1
"Nashua, NH",1
"Salem, NH",1
"Atlantic City, NJ",1
"Bayonne, NJ",1
"Belleville, NJ",1
"Bloomfield, NJ",1
"Camden, NJ",1
"Carlstadt, NJ",2
"Clementon, NJ",1
"Dover, NJ",1
"East Brunswick, NJ",1
"East Orange, NJ",2
"East Windsor, NJ",1
"Eatontown, NJ",1
"Edison, NJ",1
"Elizabeth, NJ",3
"Ewing, NJ",1
"Fort Dix, NJ",1
"Freehold, NJ",1
"Glassboro, NJ",1
"Hackensack, NJ",1
"Haledon, NJ",1
"Hamilton Township, NJ",1
"Harrison, NJ",1
"Hazlet, NJ",1
"Hillside, NJ",1
"Howell, NJ",1
"Irvington, NJ",3
"Jackson Township, NJ",1
"Jersey City, NJ",6
"Lacey Township, NJ",1
"Lawnside, NJ",1
"Lawrence, NJ",1
"Linden, NJ",1
"Little Ferry, NJ",1
"Livingston, NJ",1
"Lodi, NJ",1
"Manville, NJ",1
"Maple Shade, NJ",1
"Mays Landing, NJ",1
"Medford, NJ",1
"Montclair, NJ",1
"Morganville, NJ",1
"Mount Holly, NJ",1
"Mount Laurel Township, NJ",1
"Neptune, NJ",1
"New Brunswick, NJ",2
"Newark, NJ",3
"North Bergen, NJ",2
"Paramus, NJ",2
"Passaic, NJ",1
"Paterson, NJ",1
"Pennsauken, NJ",1
"Perth Amboy, NJ",1
"Piscataway, NJ",1
"Pleasantville, NJ",1
"Rahway, NJ",1
"Ridgefield, NJ",1
"Rockaway, NJ",1
"Rutherford, NJ",1
"Scotch Plains, NJ",1
"Teaneck, NJ",1
"Toms River, NJ",1
"Trenton, NJ",1
"Turnersville, NJ",1
"Union, NJ",1
"Union City, NJ",1
"Vineland, NJ",1
"Wayne, NJ",2
"West Berlin, NJ",1
"West Deptford, NJ",1
"West New York, NJ",1
"Willingboro, NJ",1
"Woodbridge, NJ",1
"Woodbridge Township, NJ",1
"Woodland Park, NJ",1
"Albuquerque, NM",2
"Cannon Afb, NM",1
"Gallup, NM",1
"Holloman Afb, NM",1
"Kirtland Afb, NM",1
"Las Cruces, NM",1
"Rio Rancho, NM",1
"Santa Rosa, NM",1
"Albany, NY",3
"Astoria, NY",2
"Bay Shore, NY",1
"Bellrose, NY",1
"Binghamton, NY",1
"Brentwood, NY",1
"Bronx, NY",27
"Brooklyn, NY",48
"Buffalo, NY",2
"Camillus, NY",1
"Centereach, NY",1
"Cheektowaga, NY",1
"Clifton Park, NY",1
"Corona, NY",2
"Deer Park, NY",1
"East Elmhurst, NY",1
